Date,Open,High,Low,Close,Adj Close,Volume
1999-09-08,2.375000,2.468750,2.250000,2.406250,2.406250,12700
1999-09-09,2.343750,2.500000,2.343750,2.500000,2.500000,48800
1999-09-10,2.468750,2.625000,2.375000,2.500000,2.500000,105400
1999-09-13,2.687500,2.937500,2.500000,2.750000,2.750000,139600
1999-09-14,2.921875,2.937500,2.437500,2.843750,2.843750,33100
1999-09-15,2.562500,2.937500,2.562500,2.875000,2.875000,35700
1999-09-16,2.828125,2.937500,2.718750,2.937500,2.937500,58100
1999-09-17,2.843750,3.250000,2.750000,3.250000,3.250000,117500
1999-09-20,3.250000,3.562500,3.000000,3.437500,3.437500,89400
1999-09-21,3.375000,3.500000,3.000000,3.250000,3.250000,120000
1999-09-22,3.218750,3.500000,2.937500,3.062500,3.062500,108700
1999-09-23,3.250000,3.250000,2.500000,2.625000,2.625000,84900
1999-09-24,2.562500,2.750000,2.500000,2.750000,2.750000,30900
1999-09-27,2.687500,3.000000,2.625000,2.625000,2.625000,111700
1999-09-28,2.750000,2.812500,2.562500,2.625000,2.625000,13200
